the_geom,SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
POINT (-87.7210706465121 41.858369743196675),400044,KIPP CHTR - ASCEND,"1616 S Avers Ave, 60623",ES,"1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7210706467,41.8583697441
POINT (-87.63105814858851 41.69804048805754),400045,NKRUMAH CHTR,"314 W 108th St, 60628",ES,"K, 1, 2, 3, 4, 5, 6, 7",Charter,-87.6310581484,41.6980404885
POINT (-87.7106794800759 41.867272713849566),400046,LEARN CHTR - BUTLER,"1132 S Homan Ave, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7106794802,41.8672727143
POINT (-87.69873871980407 41.87786063109123),400047,LEARN CHTR - CAMPBELL,"212 S Francisco Ave, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.6987387202,41.8778606316
POINT (-87.68656837090899 41.87468714074364),400048,LEARN CHTR - EXCEL,"2401 W Congress Pkwy, 60612",ES,"K, 1, 2, 3, 4, 5",Charter,-87.6865683709,41.8746871412
POINT (-87.73034814856054 41.85685915735708),400049,LEGACY CHTR,"4217 W 18th St, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7303481482,41.8568591586
POINT (-87.66772404348096 41.825699759221585),400050,NAMASTE CHTR,"3737 S Paulina St, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6677240431,41.82569976
POINT (-87.6626277822452 41.90019052036328),400051,NOBLE CHTR - NOBLE,"1010 N Noble St, 60642",HS,"9, 10, 11, 12",Charter,-87.6626277817,41.900190521
POINT (-87.60197357208965 41.76408299287095),400052,NOBLE CHTR - COMER,"7200 S Ingleside Ave, 60619",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6019735726,41.7640829933
POINT (-87.66448299829219 41.89528219322829),400053,NOBLE CHTR - GOLDER,"1454 W Superior St, 60642",HS,"9, 10, 11, 12",Charter,-87.6644829983,41.8952821943
POINT (-87.73012671473326 41.91521410632573),400054,NOBLE CHTR - PRITZKER,"4131 W Cortland Ave, 60639",HS,"9, 10, 11, 12",Charter,-87.7301267151,41.9152141071
POINT (-87.66085886981283 41.89242501199445),400055,NOBLE CHTR - RAUNER,"1337 W Ohio St, 60642",HS,"9, 10, 11, 12",Charter,-87.6608588702,41.8924250127
POINT (-87.7180467676694 41.89536225829381),400056,NOBLE CHTR - ROWE CLARK,"3645 W Chicago Ave, 60651",HS,"9, 10, 11, 12",Charter,-87.7180467675,41.8953622587
POINT (-87.67611092980181 41.86581741283157),400057,NOBLE CHTR - UIC,"1231 S Damen Ave, 60608",HS,"9, 10, 11, 12",Charter,-87.6761109293,41.8658174138
POINT (-87.70898711117727 41.85856355339459),400058,NTH LAWNDALE CHTR - CHRISTIANA,"1615 S. Christiana Ave., 60623",HS,"9, 10, 11, 12",Charter,-87.7089871107,41.8585635545
POINT (-87.70068059996225 41.86414584238213),400059,NORTH LAWNDALE CHTR - COLLINS,"1313 S Sacramento Dr, 60623",HS,"9, 10, 11, 12",Charter,-87.7006806005,41.8641458434
POINT (-87.67116041931102 41.98337143551791),400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,"1643 W Bryn Mawr Ave, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6711604196,41.9833714364
POINT (-87.65204508844263 41.74596083113286),400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,"8131 S May St, 60620",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.652045088,41.745960832
POINT (-87.6506570244465 41.745949018698816),400062,PERSPECTIVES CHTR - TECH HS,"8131 S May St, 60620",HS,"9, 10, 11, 12",Charter,-87.6506570243,41.7459490195
POINT (-87.6285309007454 41.85599910441009),400064,PERSPECTIVES CHTR - JOSLIN,"1930 S Archer Ave, 60616",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6285309013,41.855999105
POINT (-87.62478771976076 41.827783856672056),400066,PERSPECTIVES CHTR - IIT,"3663 S Wabash Ave, 60653",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.6247877203,41.8277838575
POINT (-87.76333693234645 41.87276042775959),400068,PLATO CONTR,"5545 W Harrison St, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Contract,-87.7633369322,41.8727604288
POINT (-87.70779647483542 41.89255017313203),400069,POLARIS CHTR,"620 N Sawyer Ave, 60624",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7077964743,41.8925501743
POINT (-87.66354080852189 41.90307017951493),400070,PROLOGUE CONTR HS,"1135 N Cleaver St, 60622",HS,"9, 10, 11, 12",Contract,-87.6635408086,41.90307018
POINT (-87.66399582959697 41.775367366876885),400071,PROVIDENCE CHTR - BUNCHE,"6515 S Ashland Ave, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6639958298,41.7753673679
POINT (-87.60025455321865 41.752458488347806),400072,SHABAZZ CHTR - SHABAZZ,"7823 S Ellis Ave, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6002545537,41.7524584893
POINT (-87.62501515025494 41.80430932601725),400073,SHABAZZ CHTR - DUSABLE,"4934 S Wabash Ave, 60615",HS,"11, 12",Charter,-87.62501515,41.8043093269
POINT (-87.6676390084211 41.7673901123986),400074,SHABAZZ CHTR - SIZEMORE,"6936 S Hermitage Ave, 60636",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6676390078,41.7673901132
POINT (-87.6085007807937 41.82772608093774),400075,UNIV OF CHGO CHTR - DONOGHUE,"707 E 37th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.6085007807,41.8277260817
POINT (-87.59878626839304 41.81118286651697),400076,UNIV OF CHGO CHTR - NKO,"1119 E 46th St, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Charter,-87.5987862682,41.811182867
POINT (-87.59811391931001 41.77812969760118),400077,UNIV OF CHGO CHTR - WOODLAWN,"6420 S University Ave, 60637",HS,"6, 7, 8, 9, 10, 11, 12",Charter,-87.5981139196,41.7781296984
POINT (-87.60842562240991 41.813547304108404),400078,UNIV OF CHGO CHTR - WOODSON,"4444 S Evans Ave, 60653",ES,"6, 7, 8",Charter,-87.608425622,41.8135473046
POINT (-87.73049511744672 41.81013478652209),400079,UNO CHTR - SPC DANIEL ZIZUMBO,"4248 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7304951171,41.8101347874
POINT (-87.73045044341933 41.80819980605674),400080,UNO CHTR - PFC OMAR E.TORRES,"4248 W 47th St, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7304504432,41.8081998067
POINT (-87.66794916955581 41.859504007501364),400081,UNO CHTR - DE LAS CASAS,"1641 W 16th St, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6679491694,41.8595040084
