SCHOOL_ID,the_geom,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
400149,POINT (-87.7110616589636 41.80176207311438),UNO CHTR - SOCCER ACADEMY,"5025 S ST LOUIS AVE, 60632",HS,"6, 7, 8, 9",Charter,-87.7110616592,41.801762074
610565,POINT (-87.64916099287105 41.76389542082597),CAMELOT - EXCEL ACADEMY OF ENGLEWOOD,"7141 S MORGAN ST, 60621",HS,"9, 10",Alternative/Contract,-87.6491609924,41.763895422
610566,POINT (-87.70660313341577 41.866450411683495),BRIDGESCAPE ACADEMY OF NORTH LAWNDALE,"3222 W ROOSEVELT RD, 60624",HS,"9, 10, 11, 12",Alternative/District,-87.7066031329,41.8664504126
610567,POINT (-87.58586707775873 41.76682098126386),BRIDGESCAPE ACADEMY OF SOUTH SHORE,"7037 S STONY ISLAND AVE, 60649",HS,,Alternative/District,-87.5858670775,41.7668209823
610568,POINT (-87.70520611007028 41.93940576761037),PATHWAYS EDUCATION HS - AVONDALE,"3100 W BELMONT AVE, 60618",HS,,Alternative/District,-87.7052061098,41.9394057685
610569,POINT (-87.70376058661506 41.779018231474446),OMBUDSMAN 1 HS,"3214 W 63RD ST, 60629",HS,,Alternative/District,-87.7037605868,41.7790182323
610570,POINT (-87.80664497364823 42.01717109081235),OMBUDSMAN 2 HS,"7500 N HARLEM AVE, 60631",HS,,Alternative/District,-87.8066449735,42.017171092
610571,POINT (-87.65988177192553 41.97413061920566),OMBUDSMAN 3 HS,"5050 N BROADWAY, 60640",HS,,Alternative/District,-87.6598817718,41.9741306201
610572,POINT (-87.55091908971704 41.752669869251015),CAMELOT - SAFE SCHOOL PROGRAM ES,"125 S CLARK ST, 60603",ES,,Alternative/District,-87.5509190894,41.7526698702
610573,POINT (-87.55091908971704 41.752669869251015),CAMELOT - SAFE SCHOOL PROGRAM HS,"125 S CLARK ST, 60603",HS,,Alternative/District,-87.5509190894,41.7526698702
610574,POINT (-87.57591967408561 41.752015316169384),"MANDELA, W","7847 S JEFFERY BLVD, 60649",HS,,Alternative/District,-87.5759196737,41.7520153168
400009,POINT (-87.7400981237378 41.80760594421929),GLOBAL CITIZENSHIP CHTR,"4647 W 47TH ST, 60632",ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.7400981233,41.807605945
400010,POINT (-87.62581237160161 41.796121998632486),ACE TECHNICAL CHTR HS,"5410 S STATE ST, 60609",HS,"9, 10, 11, 12",Charter,-87.6258123713,41.7961219993
400011,POINT (-87.70523500417126 41.877275790942726),"LOCKE, A CHTR","3141 W JACKSON BLVD, 60612",ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052350037,41.8772757921
400012,POINT (-87.63522954676468 41.77079113155291),AMANDLA CHTR HS,"6800 S STEWART AVE, 60621",HS,"5, 6, 7, 8, 9, 10",Charter,-87.6352295469,41.7707911327
400013,POINT (-87.72683602013132 41.93732683403651),ASPIRA CHTR - EARLY COLLEGE HS,"3986 W BARRY AVE, 60618",HS,"9, 10, 11, 12",Charter,-87.7268360203,41.937326835
400015,POINT (-87.69697811520399 41.91250483132056),ASPIRA CHTR - RAMIREZ HS,"1711 N CALIFORNIA AVE, 60647",HS,"11, 12",Charter,-87.6969781149,41.9125048321
400017,POINT (-87.72182521229159 41.96643310491623),ASPIRA CHTR - HAUGAN,"3729 W LELAND AVE, 60625",MS,"6, 7, 8",Charter,-87.7218252123,41.9664331061
400018,POINT (-87.76328558625954 41.88521268987922),AUSTIN BUS & ENTRP HS,"231 N PINE AVE, 60644",HS,"9, 10, 11, 12","District, non-alternative",-87.763285586,41.8852126907
400019,POINT (-87.62662117926456 41.81924917287333),BRONZEVILLE LTHOUSE CHTR CAMPUS,"8 W ROOT ST, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6266211793,41.8192491739
400020,POINT (-87.70795224274201 41.85851912981579),CATALYST CHTR - HOWLAND,"1616 S SPAULDING AVE, 60623",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7079522423,41.8585191308
400021,POINT (-87.7653213755743 41.88229478266219),CATALYST CHTR - CIRCLE ROCK,"5608 W WASHINGTON BLVD, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7653213752,41.8822947837
400022,POINT (-87.61362868027727 41.831144971846015),CHGO ARTS CONTR HS,"521 E 35TH ST, 60616",HS,"9, 10, 11, 12",Contract,-87.6136286798,41.831144973
400023,POINT (-87.58792816325425 41.743206858944426),CICS - AVALON /SO SHORE,"1501 E 83RD PL, 60619",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.5879281628,41.7432068601
400024,POINT (-87.67024224112704 41.79401542299054),CICS - BASIL,"1816 W GARFIELD BLVD, 60609",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6702422406,41.7940154237
400025,POINT (-87.68139469569019 41.92241390762424),CICS - BUCKTOWN,"2235 N HAMILTON AVE, 60647",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6813946958,41.9224139084
400026,POINT (-87.65759767982948 41.72024585320648),CICS - LOOMIS,"9535 S LOOMIS ST, 60643",ES,"K, 1, 2",Charter,-87.65759768,41.7202458543
400027,POINT (-87.71045567703203 41.950891857683146),CICS - IRVING PARK,"3820 N SPAULDING AVE, 60618",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7104556767,41.9508918586
