var,coef,se,z,p,n
treated,-0.16018175191915088,0.032536414443434664,-4.923153170354118,8.516074339048885e-7,569482
one_over,0.018498467094701383,0.03295137915732004,0.5613867330524771,0.5745339262418236,569482
two_over,-0.03182874618246641,0.03402495879507389,-0.9354528942757913,0.34955494857899816,569482
