var,coef,se,z,p,n
treated,-0.133810061929057,0.024803779016519742,-5.394744963658046,6.8620950033349e-8,1085334
one_over,0.009623588418682957,0.02424384466536986,0.3969497640128582,0.6914045060651359,1085334
two_over,-0.004372789823232515,0.024365360676593457,-0.17946747767346732,0.8575706517728715,1085334
